age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
32,technician,single,tertiary,no,392,yes,no,cellular,1,apr,957,2,131,2,failure,no
39,technician,divorced,secondary,no,688,yes,yes,cellular,1,apr,233,2,133,1,failure,no
59,retired,married,secondary,no,1035,yes,yes,cellular,1,apr,126,2,239,1,failure,no
47,blue-collar,married,secondary,no,398,yes,yes,cellular,1,apr,274,1,238,2,failure,no
54,retired,married,secondary,no,1004,yes,no,cellular,1,apr,479,1,307,1,failure,no
46,self-employed,divorced,tertiary,no,926,yes,no,cellular,1,apr,463,1,133,3,failure,no
34,blue-collar,married,secondary,no,1924,yes,yes,cellular,1,apr,161,2,253,1,failure,no
45,services,divorced,secondary,no,396,yes,yes,cellular,1,apr,251,4,329,4,failure,no
58,management,divorced,tertiary,no,315,yes,no,cellular,1,apr,121,2,135,2,failure,no
49,management,divorced,tertiary,no,20727,no,no,cellular,1,apr,285,3,132,2,failure,no
38,management,single,,no,715,yes,no,cellular,2,apr,951,1,132,3,failure,no
49,admin.,married,secondary,no,182,yes,no,cellular,2,apr,303,1,331,2,failure,no
36,technician,married,secondary,no,4613,no,no,cellular,2,apr,320,1,134,2,failure,no
39,technician,married,secondary,no,508,yes,no,cellular,2,apr,598,2,135,5,failure,no
48,services,married,secondary,no,0,yes,no,cellular,2,apr,146,1,267,1,failure,no
38,blue-collar,married,,no,0,yes,no,cellular,2,apr,477,2,267,1,failure,no
46,self-employed,married,secondary,no,-30,yes,yes,cellular,2,apr,164,1,300,2,failure,no
35,self-employed,married,tertiary,no,560,yes,no,cellular,2,apr,58,1,136,1,failure,no
58,technician,married,secondary,no,1,no,no,cellular,2,apr,333,1,64,2,failure,no
35,management,single,tertiary,no,4348,yes,no,cellular,2,apr,1074,3,217,8,failure,no
32,admin.,married,tertiary,no,233,yes,no,cellular,2,apr,77,2,133,4,failure,no
30,management,single,tertiary,no,0,yes,no,cellular,2,apr,293,2,314,2,failure,no
53,blue-collar,married,primary,no,1409,yes,no,cellular,2,apr,464,1,287,1,failure,no
40,management,married,primary,no,738,yes,yes,cellular,2,apr,399,2,258,3,failure,no
57,management,married,tertiary,no,1631,yes,no,cellular,2,apr,254,2,261,3,failure,no
37,management,married,tertiary,no,489,yes,no,cellular,3,apr,246,2,133,6,failure,no
38,technician,married,secondary,no,-421,yes,no,cellular,3,apr,187,1,332,5,failure,no
54,retired,married,primary,no,136,yes,no,cellular,3,apr,352,1,332,2,failure,no
